rank,name,result,citizen_of,competition,year 
7761,Jürgen Osterrieder,12.47,Germany,Munich Open 2019,2019
7761,Kacper Kopacz,12.47,United Kingdom,Guildford Open 2020,2020
7761,Lennon Dorsey,12.47,United States,MLWGS Winter 2020,2020
7761,Lincheng Cai (蔡林成),12.47,China,Zhongshan Children&#39;s Day 2019,2019
7761,Linmin Huang (黄林敏),12.47,China,Longyan Open 2019,2019
7761,Mark Rebolledo,12.47,Philippines,Luisita Speedcubing Open 2018,2018
7761,Michael Buckner,12.47,United States,SCC Summer 2017,2017
7761,Mikołaj Kamiński,12.47,Poland,Polish Championship 2016,2016
7761,Minghao Yang (杨明豪),12.47,China,Taizhou Open 2019,2019
7761,Nguyễn Nhật Minh,12.47,Vietnam,Ha Noi Cube Day 2020,2020
7761,Nikola Nichovski,12.47,North Macedonia,Macedonian Nationals 2019,2019
7761,Nilav Saikia,12.47,India,3rd Guwahati Open 2017,2017
7761,Paul Aeron Guillermo,12.47,Philippines,Philippine Championship 2017,2017
7761,Pavel Zherebtsov (Павел Жеребцов),12.47,Russia,Volga Nizhny Novgorod 2020,2020
7761,Pinfeng Li (李品锋),12.47,China,Chengdu Open 2018,2018
7761,Wojciech Natanek,12.47,Poland,Dragon Cubing 2018,2018
7761,Yilin Huang (黄奕霖),12.47,China,Xiamen Open 2018,2018
7794,Abhishek Mohanta,12.48,India,Speedcubing ESYA 2017,2017
7794,Ahamed Mohideen Maluk,12.48,India,Bahrain Spring Open 2019,2019
7794,Antoine Jurkowski,12.48,France,Sens Open 2018,2018
7794,Artur Kutukov (Артур Кутуков),12.48,Ukraine,Smartcube Fest Kyiv 2019,2019
7794,Avinash Anish,12.48,India,Bangalore Open 2018,2018
7794,Aziz Hojimatov,12.48,Uzbekistan,Namangan Open 2019,2019
7794,Carlos Nikko I. Galvan,12.48,Philippines,Philippine Championship 2018,2018
7794,Chih-Kai Wu (吳之凱),12.48,Taiwan,Cross-strait 2015,2015
7794,Chin Gui Ting,12.48,Malaysia,Putra Speedcubing Challenge 2019,2019
7794,Christian Yael Rivera Rivera,12.48,Mexico,New Zamora 2019,2019
7794,Divij Yadav,12.48,India,IISERM Cube Open 2020,2020
7794,Hans Lin,12.48,Australia,Odd Day in Sydney 2019,2019
7794,Israel Parada,12.48,Chile,Chile Verano 2016,2016
7794,Jan Derick Axibal Arevalo,12.48,Philippines,Urdaneta City Fiesta Open 2016,2016
7794,Jerald Jaro,12.48,Philippines,Cuber&#39;s Cafe Open 2019,2019
7794,Juyoung Kim,12.48,Republic of Korea,Play Cube X4 2019,2019
7794,Kaustubh Joshi,12.48,India,IISER Pune Cube Open 2019,2019
7794,Koji Ito (伊藤滉二),12.48,Japan,JRCA Kansai Spring 2016,2016
7794,Lakshay Sharma,12.48,India,Indian Nationals 2019,2019
7794,Luis Kleinheinz,12.48,Germany,Hessen Open 2019,2019
7794,Nattapong Leardprasit,12.48,Thailand,WCA Euro 2018,2018
7794,Pinyao Wang (王品尧),12.48,China,Sydney Winter 2015,2015
7794,Renato Stopic,12.48,Bosnia and Herzegovina,Banja Luka Open 2018,2018
7794,Rio Garnida,12.48,Indonesia,Skywalk 2018,2018
7794,Roman Misirkhanov (Роман Місірханов),12.48,Ukraine,Kharkiv Winter 2017,2017
7794,Samson Wu,12.48,Canada,Leap to Barrie 2020,2020
7794,Samuel Lai,12.48,United Kingdom,UK Championship 2017,2017
7794,Seo Jun Park (박서준),12.48,Republic of Korea,Korean Championship 2019,2019
7794,Snehashish Chakravarti,12.48,India,Speedcubing ESYA 2018,2018
7794,Télian Delannoy,12.48,France,French Championship 2019,2019
7794,Wesley Oliveira Dias,12.48,Brazil,Brasileiro 2017,2017
7794,Yilin Wang (王艺霖),12.48,China,Zhongshan Children&#39;s Day 2019,2019
7794,Yiyuan Wei (韦懿原),12.48,China,Nanning Open 2019,2019
7794,Ziang Yan (晏子昂),12.48,China,WHU Rubik&#39;s Cube Days 2017,2017
7794,Ziyu Zhao (赵子钰),12.48,China,Beijing Open 2017,2017
7829,Afif Ramadhan,12.49,Indonesia,Belgian Open 2019,2019
7829,Alan Kuo (郭建廷),12.49,Taiwan,Taiwan Championship 2019,2019
7829,Benjamin Meco,12.49,Sweden,Flen New Year&#39;s Blind 2017,2017
7829,Carlos Rill Garcia,12.49,Mexico,NxN Tlaxcala 2019,2019
7829,Chengwei Lu (鲁城玮),12.49,China,Shijiazhuang Open 2019,2019
7829,Dan Sarnelli,12.49,United States,US Nationals 2014,2014
7829,Daniel Guzman,12.49,United States,SacCubing VI 2019,2019
7829,Eric Lee,12.49,United States,Poly Cubed 2016,2016
7829,Fangce Chen (陈方策),12.49,China,GDSY Open 2019,2019
7829,Fayaz Wagid Hosain,12.49,Netherlands,Marathon Open 2017,2017
7829,Gage Krieg,12.49,United States,Frisco Liberty Cubing 2020,2020
7829,Gergely Buresch,12.49,Hungary,Hungarian Open 2019,2019
7829,Haifei Wang (汪海飞),12.49,China,Hefei Summer 2018,2018
7829,HyoHui Jiang,12.49,Republic of Korea,Hangzhou Autumn 2019,2019
7829,I-Jou Chu (朱怡柔),12.49,Taiwan,Big Cubes Challenge 2016,2016
7829,Ivan Camilo Ortegon Vives,12.49,Colombia,Santa Marta Open 2019,2019
7829,James Hocevar,12.49,Canada,Oakville Limited Fall 2017,2017
7829,Jiahan Wei (魏嘉函),12.49,China,Shijiazhuang Open 2019,2019
7829,Lê Nguyễn Quốc An,12.49,Vietnam,HCMC Pro League 2019,2019
7829,Leonid Antonov (Леонид Антонов),12.49,Russia,Welcome to Academy 2018,2018
7829,Luke Moody,12.49,United States,Athens Fall Late Night 2016,2016
7829,Ninh Nguyễn Phạm Tuân,12.49,Vietnam,Ha Noi Summer 2020,2020
7829,Ree Brandel D. Cariaga,12.49,Philippines,Urdaneta City Fiesta Open 2016,2016
7829,Ryan Lewis,12.49,United States,Arcadia Summer 2019,2019
7829,Shubhayan Kabir,12.49,India,SCMU 2017,2017
7829,Sixuan Lou (楼思玄),12.49,China,Hangzhou 2012,2012
7829,Timofey Zakharchenko (Тимофей Захарченко),12.49,Russia,Vladivostok Spring 2020,2020
7829,Tripp Lyons,12.49,United States,Bay Area Speedcubin&#39; 22 2019,2019
7829,Yu-Chen Wang (王于宸),12.49,Taiwan,Kaohsiung Winter 2015,2015
7829,Yukun Yang (杨宇琨),12.49,China,Nanning Open 2018,2018
7829,Zachary Leung,12.49,Canada,National Capital Region 2017,2017
7860,Alex Hyams,12.50,Canada,Canadian Open 2015,2015
7860,Alex Truong,12.50,United States,Fort Worth Fall Fiesta 2019,2019
7860,Antoni Zając,12.50,Poland,Piotrków Trybunalski 2017,2017
7860,Anup Adhikari,12.50,Nepal,Cube Mahotsav 2018,2018
7860,Brandon Kao,12.50,United States,Mudd Winter 2020,2020
7860,Brillian Prajudistisia,12.50,Indonesia,Madiun Happy Cubing 2017,2017
7860,Chenggang Yao (姚成刚),12.50,China,Taizhou Open 2019,2019
7860,Chris Foster,12.50,United States,All Aboard 2017,2017
7860,Connor Pique,12.50,United States,River Hill Spring 2018,2018
7860,Daniel Alejandro Torres Moreno,12.50,Colombia,Festival Cubero Clásico CBN 2019,2019
7860,David Fang,12.50,Indonesia,Indonesian Open 2011,2011
7860,Eduard Lucaci,12.50,Italy,Bologna Winter Madness 2020,2020
7860,Hongyu Fan (范鸿宇),12.50,China,Shandong Open 2019,2019
7860,Hussein Karimi (حسین کریمی),12.50,Iran,Iran Summer Cube 2013,2013
7860,Ivo Bakker,12.50,Netherlands,Rijswijk Open 2018,2018
7860,Jacob Montoya,12.50,United States,SacCubing IV 2018,2018
7860,Johnathan Wheeldon,12.50,United States,Derby City Open 2019,2019
7860,Kaijin Wang (王凯津),12.50,China,Shenzhen 10th Anniversary 2019,2019
7860,Lei Wang (汪磊),12.50,China,Wuhu Open 2019,2019
7860,Lincoln Lim Ken Yang,12.50,Malaysia,Malaysia Cube Championship 2018,2018
7860,Magnus Farré Emmervadt Jensen,12.50,Denmark,Lonely Denmark 2020,2020
7860,Nick Li,12.50,United States,Caltech Fall 2014,2014
7860,Nikhil George,12.50,India,Venice of the East Open 2018,2018
7860,Nur Faris Danial Bin Nur Azam,12.50,Malaysia,Malaysia Cube Championship 2019,2019
7860,Patrick Ellis,12.50,South Africa,Arnold Classic Africa 2019,2019
7860,Paul Tan II,12.50,Philippines,Cebu Open 2011,2011
7860,Peiyun Sang (桑培耘),12.50,China,Shanghai Winter 2018,2018
7860,Robin Blöhm,12.50,Germany,Dutch Nationals 2010,2010
7860,See Man Le,12.50,Malaysia,Malaysia Cube Open 2017,2017
7860,Sheng-Wen Wang (王聖文),12.50,Taiwan,Kaohsiung Open 2016,2016
7860,Simon Nilsson,12.50,Sweden,Valborg Cubing 2019,2019
7860,Toavina Ranaivoarisoa,12.50,Madagascar,Madagascar Cubing Open 2019,2019
7860,Wei Dong (董唯),12.50,China,China Championship 2019,2019
7860,William Pham,12.50,Belgium,Seraing Open 2019,2019
7860,Yao Zou (邹耀),12.50,China,Heilongjiang Open 2015,2015
7860,Ye Xuan (宣晔),12.50,China,Chengdu Winter Open 2018,2018
7860,Yehui Liang (梁烨辉),12.50,China,Dongguan Summer 2019,2019
7860,Yong Rong Seng (杨荣盛),12.50,Malaysia,Malaysia 10th Cube Open 2019,2019
7860,You Sun (孙悠),12.50,China,Hangzhou Autumn 2019,2019
7899,Alejandro Soriano,12.51,Spain,UCM Open 2019,2019
7899,Ali Magazbekov (Али Магазбеков),12.51,Kazakhstan,KSF Nur-Sultan City 2019,2019
7899,Antoine Jaumouille,12.51,France,Techweek NZ 2017,2017
7899,Blake Dopson,12.51,Canada,Oakville Autumn Limited 2018,2018
7899,Carson Forsyth,12.51,United States,Slow N Steady Summer 2018,2018
7899,Cristhian Ricaldi Sinche,12.51,Peru,Peru Nationals 2019,2019
7899,Denmark Sonn E. Taneo,12.51,Philippines,Tagum City Open 2019,2019
7899,Do Minh Triet,12.51,Vietnam,Ho Chi Minh Cube Day 2017,2017
7899,Eduardo Costa de Carvalho,12.51,Brazil,Maranhão 2017,2017
7899,Igor Kucheryavyh (Игорь Кучерявых),12.51,Kazakhstan,KSF Karaganda City 2019,2019
7899,Jikai Li (李继凯),12.51,China,China Championship 2019,2019
7899,Joaquín Guillén,12.51,Uruguay,Montevideo Bisiesto 2020,2020
7899,Joaquin Vicente De Larrazabal,12.51,Philippines,Bonifacio Memorial 2018,2018
7899,Johannes Neugebauer,12.51,Germany,Munich Open 2018,2018
7899,Jose Abanto Ortiz,12.51,Peru,LTC Cube Fest 2017,2017
7899,José Marco Tarifa Hernández,12.51,Bolivia,Oruro Open 2016,2016
7899,Khrystyna Vytvytska (Христина Витвицька),12.51,Ukraine,Frankivsk Open 2019,2019
7899,Lianqi Zhan (詹炼棋),12.51,China,Guiyang Open 2012,2012
7899,Luis Angel Huerta Barrales,12.51,Mexico,Telpochcalli Tlaxcala 2020,2020
7899,Luis Flores,12.51,Bolivia,San Rafael 2018,2018
7899,Maksim Kuchuk (Максим Кучук),12.51,Russia,Vladivostok Spring 2020,2020
7899,Maoke Li (李茂锞),12.51,China,Guilin Open 2019,2019
7899,Marcelo Malony P. Mallari Jr.,12.51,Philippines,Philippine Championship 2017,2017
7899,Matthieu Aubert,12.51,France,French Championship 2019,2019
7899,Minghui Li (李明徽),12.51,China,Longyan Open 2018,2018
7899,Nathaniel Tai,12.51,United States,Berkeley Spring 2019,2019
7899,Nguyễn Lê Gia Tuệ,12.51,Vietnam,HCMC Pro League 2019,2019
7899,Oscar Andelfo Dúran Caicedo,12.51,Venezuela,Reencuentro Mérida 2018,2018
7899,Paweł Kaczoruk,12.51,Poland,PST Rzeszów 2019,2019
7899,Phạm Tiến Đạt,12.51,Vietnam,Nha Trang Open 2017,2017
7899,Qinwei Wu (吴钦为),12.51,China,Heze Open 2019,2019
7899,Rory Dasher,12.51,United States,Slow N Steady Summer 2019,2019
7899,Runhong Liu (刘润竑),12.51,China,Kunshan Open 2019,2019
7899,Swami Srinivasan,12.51,Australia,Melbourne Summer 2019,2019
7899,Zhihan Liu (刘智涵),12.51,China,Huzhou Open 2019,2019
7934,Alaric Pan,12.52,United States,Scuppernong Spectacular 2019,2019
7934,Ayumu Furusawa (古澤歩),12.52,Japan,Ayase 2020,2020
7934,Ben Streeter,12.52,United States,WCA World Championship 2019,2019
7934,Bogdan Shirokov,12.52,Russia,Izhevsk Winter Cube 2019,2019
7934,Carl Joshua Garcia,12.52,Philippines,Metro Speedcubing Open III 2018,2018
7934,Connor Gates,12.52,United States,Western Championship 2019,2019
7934,Drew Dickson,12.52,United States,Burke Mountain Cubing 2019,2019
7934,Fabrizio Rocco,12.52,Argentina,Nacionales Argentinas 2019,2019
7934,Freddie Yuan,12.52,United States,Shanghai Winter 2010,2010
7934,Gabriel Calub,12.52,United States,Bay Area Speedcubin&#39; 16 2019,2019
7934,Hongyi Hu (胡泓毅),12.52,China,Nanchang Open 2017,2017
7934,Im Dong-Hyuk (임동혁),12.52,Republic of Korea,ByeolLae Open 2020,2020
7934,Joel Lim Kai-En,12.52,Singapore,Singapore Mini 2019,2019
7934,Juan Pablo Mendez Martinez,12.52,Guatemala,Los Próceres 2019,2019
7934,Julián Ibarra Díaz,12.52,Ecuador,Tabacundo Open 2018,2018
7934,JuYeol Kim (김주열),12.52,Republic of Korea,Korean Championship 2018,2018
7934,Kai-Yu Hsu (許愷育),12.52,Taiwan,Maru X 2018,2018
7934,Kanfeng Zhang (张堪锋),12.52,China,Dongguan Summer 2019,2019
7934,Kelvin Chen (陈冠宇),12.52,Canada,GDSY Open 2019,2019
7934,Kirill Shalashov,12.52,Russia,HSE Open 2018,2018
7934,Lianghui Li (李亮辉),12.52,China,Tangshan Open 2019,2019
7934,Mohammadmahdi Ammarloo (محمد مهدی عمارلو),12.52,Iran,Icy Summer 2018,2018
7934,Ningrui Xia (夏宁睿),12.52,China,Qianjiang Summer Open 2018,2018
7934,Shun Sakurai (櫻井駿),12.52,Japan,Kansai Open 2012,2012
7934,Thorvald Gisli Byrialsson Bjørst,12.52,Denmark,Nordic Championship 2019,2019
7934,Tse Shun Him (谢顺谦),12.52,China,Shenzhen University 2011,2011
7934,Viachaslau Kazak,12.52,Belarus,Belarus Nationals 2019,2019
7934,Willi Mickein,12.52,Germany,Monnem City Cubing 2018,2018
7934,Ximiao Liu (刘曦淼),12.52,China,Beijing Summer 2019,2019
7934,Xuyang Zhang (张煦阳),12.52,China,China&#39;s 10th Anniversary 2017,2017
7934,Yucheng Yang (阳玉成),12.52,China,China&#39;s 10th Anniversary 2017,2017
7934,Yucheng Zhang (张宇程),12.52,China,Shenzhen 10th Anniversary 2019,2019
7966,Abhinav Govindaraju,12.53,United States,Quabbin Summer 2019,2019
7966,Alex Hagen,12.53,United States,MIT Fall 2015,2015
7966,Alex Patti,12.53,Australia,Northside Cube Days 2020,2020
7966,Anas Meziani,12.53,Morocco,Imaginalia Open 2019,2019
7966,Callum Winter,12.53,Sweden,Guildford Open 2020,2020
7966,Dadhania Het,12.53,India,Synocubix 2020,2020
7966,Dmytro Brykin (Дмитро Брикін),12.53,Ukraine,Cubes Masters Zhytomyr 2019,2019
7966,Dong Huang (黄东),12.53,China,Jieyang Open 2019,2019
7966,Huiyuan Wang (王汇元),12.53,China,Taiyuan Winter 2018,2018
7966,Jhojan Andres Lombana Garcia,12.53,Colombia,III Torneo Nacional 2013,2013
7966,John Anderson Delgado Lavado,12.53,Peru,Trujillo Happy New Year 2020,2020
7966,Julio Cabrera,12.53,Ecuador,Ecuador Nationals 2019,2019
7966,Kai Song (宋凯),12.53,China,Quanzhou Open 2019,2019
7966,Marek Pepke,12.53,Poland,GLS Cup III 2019,2019
7966,Marlom Messias dos Santos,12.53,Brazil,Pequi Open 2020,2020
7966,Masum Mushfiq Ishti,12.53,Bangladesh,Knights Cubing Open 2019,2019
7966,Maurice Kieffer,12.53,France,Baden-Württemberg Open 2019,2019
7966,Michał Sikora,12.53,Poland,Polish Nationals 2017,2017
7966,Natsuki Ishizawa (石澤夏希),12.53,Japan,Japan Championship 2019,2019
7966,Philipp Schiemer,12.53,Austria,Xlingen Open 2019,2019
7966,Pol Juny Sánchez,12.53,Spain,Vedruna Balaguer Open 2020,2020
7966,Rayhan Yeoh,12.53,Indonesia,Jakarta Mini Open 2020,2020
7966,Raymond Prati,12.53,United States,Wolfpack Winter 2018,2018
7966,Ryota Aoki (青木涼太),12.53,Japan,Kansai Open 2019,2019
7966,Sven Peillex,12.53,France,SMSO 2018,2018
7966,Syairillah,12.53,Indonesia,Siginjai Open 2018,2018
7966,Wojciech Papliński,12.53,Poland,LLS V Final 2019,2019
7966,Wouter Komduur,12.53,Netherlands,Dutch Masters 2020,2020
7966,Yen-Wei Li (李彥緯),12.53,Taiwan,Taipei Winter Open 2018,2018
7966,Ziheng Wang (王子恒),12.53,China,Dalian Spring 2019,2019
7996,Aili Asikainen,12.54,Finland,Finnish Open 2013,2013
7996,Alexander Jasinski,12.54,United States,Wildcat Spring 2019,2019
7996,Artur Holzmann,12.54,Germany,Franconia Open 2014,2014
7996,Azat Sarsembaev (Азат Сарсембаев),12.54,Kazakhstan,NIS Aktobe Cube Days 2020,2020
7996,Benjamin D. Millikan,12.54,United States,Battle for Toledo 2019,2019
7996,Brett Carnes,12.54,United States,Arkansas Cubing Drive 2018,2018
7996,Chae Ji-Seok (채지석),12.54,Republic of Korea,KAIST Spring 2017,2017
7996,Chau-Yi Shiu (許朝屹),12.54,Taiwan,Lanyang Open 2019,2019
7996,Christian Ruckli,12.54,Switzerland,Liechtenstein Open 2019,2019
7996,Fahiyeen Dewan,12.54,Bangladesh,Bangladesh Cubing Fiesta 2019,2019
7996,Fangxu Yu (余方续),12.54,China,Xi&#39;an Cherry Blossom 2017,2017
7996,Felipe Cardim,12.54,Brazil,I Itapê Open 2019,2019
7996,Ibai Tobar Argaiz,12.54,Spain,JukiMods Baztan Open 2019,2019
7996,Laura Tarrés Gimeno,12.54,Spain,FME Open 2019,2019
7996,Lin Tao (陶林),12.54,China,Hangzhou Open 2010,2010
7996,Mikołaj Kuzia,12.54,Poland,LLS III v2 2020,2020
7996,Phua Shi Qian,12.54,Malaysia,STEM Cube Open Kuala Lumpur 2019,2019
7996,Prashant Swarnkar,12.54,India,Mumbai Open 2012,2012
7996,Preston Nguyen,12.54,United States,Pittsburgh Open 2018,2018
7996,Samay Saini,12.54,India,City of Joy Open 2019,2019
7996,Terrence Cao,12.54,United States,CubingUSA Nationals 2019,2019
7996,Vadym Khikhlo (Вадим Хіхло),12.54,Ukraine,Beit Dan Open 2014,2014
7996,Xingyu Jiang (江星宇),12.54,China,Hangzhou Autumn 2019,2019
7996,Yoav Zaidenberg,12.54,Israel,Hannukubing 2019,2019
7996,Ziyang Xu (徐子洋),12.54,China,Dalian Open 2018,2018
7996,Zygmunt Baranowski,12.54,Poland,Gdańsk Cubing Summer Camp 2019,2019
8022,Christopher Abrahamsson,12.55,Sweden,Welcome Back Jönköping 2020,2020
8022,David Arturo Díaz,12.55,Paraguay,Paraguay Nationals 2018,2018
8022,Divyesh Kantilal Jolapara,12.55,India,Cubelelo Winter Open 2016,2016
8022,Dongheon Ryu (류동헌),12.55,Republic of Korea,Cubing Korea 2019,2019
8022,Fernando Mendez Mesa,12.55,Colombia,Caracolí Open 2019,2019
8022,Haifeng Zhang (章海峰),12.55,China,Cube Elite Union Cafe 2014,2014
8022,Hengrui Wang (王珩睿),12.55,China,Xinxiang Open 2019,2019
8022,Jason Wu Hing (吳興),12.55,Hong Kong,Hong Kong Cube Day 2019,2019
8022,Jiang Wu (吴江),12.55,China,Fuzhou Open 2014,2014
8022,Jielong Gong (龚杰龙),12.55,China,Dongguan Open 2018,2018
8022,Jonas da Silva Costa Neto,12.55,Brazil,Recife 2018,2018
8022,Jonathan Almanza Roca,12.55,Bolivia,Villa Rosita 2020,2020
8022,José David Jimbo González,12.55,Ecuador,Ecuador Nationals 2018,2018
8022,Kai Xu (徐凯),12.55,China,Nanjing Spring 2018,2018
8022,Matthew Hollinger,12.55,United States,Florida Feast 2015,2015
8022,Michał Orylski,12.55,Poland,SLS Gliwice 2017,2017
8022,Nathan Jennings,12.55,United States,Oklahoma 2020,2020
8022,Pedro Azevedo,12.55,Portugal,Rodo Open 2019,2019
8022,Shao-Hua Hu (胡少華),12.55,Taiwan,Pingtung Cubing Open 2020,2020
8022,Thomas Ortega,12.55,France,Oulu Open 2017,2017
8022,Vladislav Yurmov (Владислав Юрмов),12.55,Russia,Ivanovo Cuber Cup 2019,2019
8022,Westley Peters,12.55,United States,Texas Two-Day Showdown 2017,2017
8022,Zifei Zhang (张子非),12.55,China,Shanghai Winter 2018,2018
8045,Aedelle Vice Staley R. Anunciacion,12.56,Philippines,Cavite Speedcubing Open 2017,2017
8045,Bill Yuan,12.56,United States,Berkeley Fall 2017,2017
8045,Carlos Alberto Corona Hernández,12.56,Mexico,MCF 2016,2016
8045,Chenyang He (何晨阳),12.56,China,China Championship 2019,2019
8045,Derek LePage,12.56,United States,Race the Clock 2018,2018
8045,Di Lu (卢迪),12.56,China,Shijiazhuang Open 2019,2019
8045,Eduardo Caraquito,12.56,Panama,Cubing Chiriquí 2018,2018
8045,Elliott Perkins,12.56,United States,Imagination Station 2020,2020
8045,Evan Ressel,12.56,United States,MIT Spring 2016,2016
8045,Evan Stubblefield,12.56,United States,CubingUSA Nationals 2019,2019
8045,Hleb Marchenko (Глеб Марченко),12.56,Ukraine,Ukrainian Open 2019,2019
8045,Isaac Latta,12.56,New Zealand,Auckland Summer Open 2020,2020
8045,Jim Wu,12.56,Canada,Toronto Spring 2016,2016
8045,Joseph Snyder,12.56,United States,SacCubing I 2017,2017
8045,Lakshmi Sai Srivatsa,12.56,India,Forum Monsoon Open 2019,2019
8045,Lê Văn Tuấn,12.56,Vietnam,Buon Me Thuot Cube Day 2018,2018
8045,Luis De Los Reyes,12.56,Philippines,Cube Ala-Eh V 2020,2020
8045,Luke Russell Orduña,12.56,Philippines,Pangasinan Speedcubing Open 2017,2017
8045,Mieszko Masłowski,12.56,Poland,ŚLS Zawiercie 2015,2015
8045,MJ Migs Navarro,12.56,Philippines,Luzon Championship 2019,2019
8045,Quanyi Xu (徐全意),12.56,China,Wuxi Autumn 2018,2018
8045,Rene Ralph Moneza,12.56,Philippines,Urdaneta City Open 2012,2012
8045,Rūdolfs Dubovs,12.56,Latvia,Sigulda Open 2019,2019
8045,Sepp Zammuto,12.56,United States,Maybe Melrose Spring 2017,2017
8045,Sihao Chen (陈思豪),12.56,China,Chongqing Open 2013,2013
8045,Stanley Yang,12.56,United States,Binghamton Winter Cube Day 2018,2018
8045,Tiew Fu Siang,12.56,Malaysia,Malaysia Cube Championship 2019,2019
8045,Yu-Kai Lin (林昱愷),12.56,Taiwan,Kaohsiung Autumn Open 2018,2018
8073,Abel Jesús Angeles Rodríguez,12.57,Peru,Torneo Activa Club 2018,2018
8073,Albert Fiestas Salapi,12.57,Peru,Trujillo Open 2018,2018
8073,Alex Kulak,12.57,United States,Coach Pigeon 2018,2018
8073,András Gelencsér,12.57,Hungary,Hungarian Open 2019,2019
8073,Augustin Dinh,12.57,France,Swisscubing Cup IV 2020,2020
8073,Azizah Nur Hayati,12.57,Indonesia,Yongjun Jakarta Speedcubing 2019,2019
8073,Bipul Mahat,12.57,Nepal,Cube Jatra 2019,2019
8073,Chia Bing Xuan,12.57,Singapore,Singapore 333 Cube 2016,2016
8073,Congjian Zhang (张丛健),12.57,China,Tianjin Summer Open 2018,2018
8073,Daniel Raber,12.57,United States,Northwest Championship 2018,2018
8073,Daniel Tarifa,12.57,Bolivia,Oruro al Cubo 2019,2019
8073,Dmitrii Dusheiko (Дмитрий Душейко),12.57,Russia,Ural Autumn 2020,2020
8073,Filippo Galasso,12.57,Italy,Italian Open 2012,2012
8073,Haiping Chen (陈海平),12.57,China,Xi&#39;an Summer 2013,2013
8073,Hanrui Kang (康汉睿),12.57,China,Shenyang Summer 2018,2018
8073,Jandell Ryan Ko,12.57,United States,SacCubing IX 2020,2020
8073,Jiaheng Li (李嘉恒),12.57,China,Xi&#39;an New Year 2020,2020
8073,José Armando Prudente,12.57,Ecuador,Ecuador Nationals 2018,2018
8073,Leo Barcenas Jr.,12.57,Philippines,Robinsons Galleria Open 2011,2011
8073,León Jairo Escobar Moreno,12.57,Spain,Arnold Open 2017,2017
8073,Lucas Pedersson,12.57,Australia,Melbourne Summer 2020,2020
8073,Marlilson Augustinho Roberto,12.57,Brazil,Recife 2018,2018
8073,Mathias Tomazelli,12.57,Brazil,SESC Camaquã 2017,2017
8073,Matthew Wilcox,12.57,United States,Mudd Winter 2019,2019
8073,Miquéias Dantas dos Santos,12.57,Brazil,Arena BSB de Cubo Mágico 2019,2019
8073,Mir Amir Hosein Hoseini (مير امير حسين حسيني),12.57,Iran,Golden Rubik&#39;s Cube 2017,2017
8073,Nathan Nesling,12.57,United Kingdom,Guildford Open 2020,2020
8073,Nguyễn Đức Tuấn,12.57,Vietnam,Ha Noi Cube Day 2017,2017
8073,Nguyễn Phước An Vũ,12.57,Vietnam,HCMC Summer Open 2016,2016
8073,Noé Mode,12.57,France,Champagne Open 2017,2017
8073,Oliver Ling,12.57,Australia,Altona Algorithms 2019,2019
8073,Parker Zieschang,12.57,United States,Veterans Day Open 2017,2017
8073,Peter Alfonso Paguia,12.57,Philippines,Valenzuela Cube Classic 2019,2019
8073,Phạm Đức Việt,12.57,Vietnam,CSP Open 2015,2015
8073,Ricardo Bautista Muñoz,12.57,Mexico,ArCubingFest 2018,2018
8073,Robert Ninotti,12.57,United States,Constitution State Winter 2020,2020
8073,Sajja Suhas,12.57,India,Hyderabad Cube Open 2019,2019
8073,Sam Thessen,12.57,United States,Cubetcha 2019,2019
8073,Simen Stiansen,12.57,Norway,Norwegian Championship 2019,2019
8073,Teo Gaberšček,12.57,Slovenia,Ljubljana Open 2018,2018
8073,Tosei Suzuki (鈴木登晟),12.57,Japan,Kansai Open 2017,2017
8073,Tristan Jeff Bautista,12.57,Philippines,Cavite Speedcubing Open 2017,2017
8073,Valerio Maggi,12.57,Italy,Road to IC - Monterotondo 2019,2019
8073,Vedansh Nehra,12.57,India,4th Guwahati Open 2018,2018
8073,Wenqian Zheng (郑文乾),12.57,China,Linfen Open 2018,2018
8073,Xianqian Zou (邹贤谦),12.57,China,Dongguan Open 2018,2018
8073,Yu Zhou (周煜),12.57,China,Hangzhou Open 2018,2018
8073,Yucheng Liang (梁育诚),12.57,China,Xiamen Open 2018,2018
8073,Yujing Peng (彭渝景),12.57,China,Shenzhen 10th Anniversary 2019,2019
8073,Zihao Wang (王子豪),12.57,China,Shandong Open 2019,2019
8123,Alrimar Dias Rocha Sobrinho,12.58,Brazil,Oficina Open 2016,2016
8123,Ana Burguez,12.58,Paraguay,La Galería Cubes 2019,2019
8123,Arvin Mangeri (آروین مانگری),12.58,Iran,Icy Summer 2018,2018
8123,Atai Aldashev (Атай Алдашев),12.58,Kyrgyzstan,Kyrgyzstan Open 2019,2019
8123,Carlos Macias Valadez,12.58,Mexico,FNSM 2015,2015
8123,Cheung-Hao Tu,12.58,United Kingdom,Guildford Open 2020,2020
8123,Deng Zhengping,12.58,Singapore,NTU Open 2019,2019
8123,Diego Montes,12.58,United States,ChicaGhosts 2017,2017
8123,Đặng Công Quốc Khanh,12.58,Vietnam,Da Nang City Open 2017,2017
8123,Hannes Müller,12.58,Germany,Happy New Year Cubing Hoorn 2020,2020
8123,Hiroaki Okamoto (岡本裕陽),12.58,Japan,Hiroshima Open 2019,2019
8123,Joseph Hale,12.58,United States, AZCubing Summer 2016,2016
8123,Junfeng Yang (杨峻峰),12.58,China,Hubei Spring 2018,2018
