rank,name,result,citizen_of,competition,year
183,Bernardo Torres,7.72,Venezuela,CinemaCubing San Carlos 2019,2019
183,Ivaylo Ivaylov Vichev,7.72,Bulgaria,Macedonian Nationals 2019,2019
183,Jason Lee,7.72,United States,Fort Worth Fall Fiesta 2019,2019
183,Staš Zupanc,7.72,Slovenia,Osijek Open 2017,2017
187,David Nguyen,7.73,United States,North Star Cubing Challenge 2019,2019
187,Luigi Soriano,7.73,United States,Liberty Science Center Open 2019,2019
187,Szymon Musiał,7.73,Poland,Gdańsk Open 2020,2020
187,Yap Jia Yang,7.73,Malaysia,Beaconhouse Malaysia Open 2019,2019
191,Kavin Tangtartharakul,7.74,United States,San Diego Summer 2019,2019
191,Vicenzo Guerino Cecchini,7.74,Brazil,South American Championship 2018,2018
193,Adrian Jorghy,7.75,Indonesia,Indonesian Championship 2019,2019
193,Igor Ośmiałowski,7.75,Poland,GLS Cup Final 2018,2018
193,Pavan Ravindra,7.75,United States,Maryland 2017,2017
196,Kari Hyttinen,7.76,Finland,Helsinki Open 2020,2020
196,Michael Nielsen,7.76,United States,Country Roads Martinsburg 2020,2020
196,Tomáš Zatroch,7.76,Slovakia,Kostelec Summer 2019,2019
199,Brandon Nunez,7.77,United States,Lower Moreland Winter 2019,2019
199,Jr-Wei Jang (張智瑋),7.77,Taiwan,Taiwan Championship 2018,2018
199,Léo Bailly,7.77,France,French Championship 2019,2019
199,Mattia Galentino,7.77,Italy,Salento Cubing Open 2020,2020
199,Valerio Locatelli,7.77,Italy,Bologna Winter Madness 2020,2020
204,He-Ping Zheng (鄭和平),7.78,Taiwan,Zhuyuangang Open 2020,2020
204,János Bereczki,7.78,Romania,Constanta Summer Open 2019,2019
204,Minkyu Shin (신민규),7.78,Republic of Korea,Cubing Korea 2019,2019
207,Antonio Gabriel Freitas da Silva,7.79,Brazil,Schoolmark Open 2019,2019
208,Taosif Amin Sahil,7.80,Bangladesh,Dinajpur Cubing Open 2019,2019
209,Nathaniel Ortega,7.81,Philippines,Cube Ala-Eh IV 2019,2019
209,Nipun Kisari,7.81,United States,Cubing in Cambridge 2019,2019
211,Justin Barker,7.82,United States,Cubing Peoria 2019,2019
211,Waden Cho,7.82,United States,TJHSST Fall 2019,2019
213,Justin Mallari,7.83,United States,Slow N Steady Winter 2020,2020
214,Maciej Czapiewski,7.84,Poland,Cube Factory Częstochowa 2018,2018
214,Thada Phuenghua (ธาดา พึ่งฮั้ว),7.84,Thailand,Thailand 10th Anniversary 2019,2019
216,Pengcheng Wang (王鹏程),7.85,China,Ningxia Open 2018,2018
216,Tristan Jansen,7.85,Netherlands,Star Cubing Nijmegen 2020,2020
216,Vladislav Kaminskiy,7.85,Belarus,Belarus Nationals 2019,2019
216,Zachary Ochs,7.85,United States,Gobbler Cube Day Fall 2019,2019
220,Asato Irifune (入船朝斗),7.86,Japan,Kansai Open 2019,2019
220,Ivan Vynnyk (Іван Винник),7.86,Ukraine,Euro 2016,2016
220,Katie Hull,7.86,United States,Scuppernong Spectacular 2019,2019
220,Matthew Shay,7.86,United States,Bobcat Battle 2019,2019
220,Mattias Uvesten,7.86,Sweden,Nordic Championship 2018,2018
220,Nguyễn Ngọc Thịnh,7.86,Vietnam,Thailand Championship 2019,2019
220,Nikita Kovalchuk (Нікіта Ковальчук),7.86,Ukraine,Ukrainian Open 2018,2018
220,Tomoya Firman,7.86,Australia,Northside Cube Day 2019,2019
220,Weixing Zhang (张炜星),7.86,China,GDSY Open 2017,2017
229,Daniel Tidsey,7.87,United Kingdom,Doncaster Open 2020,2020
229,Fabio Schwandt,7.87,United Kingdom,LYN Cubing Days 2019,2019
229,Juan Pablo Huanqui,7.87,Peru,TCG Spring 2019,2019
229,Julián García Sánchez,7.87,Mexico,Conde Open 2019,2019
233,Azhar Virani,7.88,United States,Dallas Winter 2018,2018
233,Eli Parker,7.88,United States,GA Cubers Feet Fest 2019,2019
233,Harry Savage,7.88,United Kingdom,WCA World Championship 2019,2019
233,John Bacouël,7.88,France,Sens Open 2019,2019
237,Atsuto Takemura (竹村篤人),7.89,Japan,Kyoto Open 2019,2019
237,Eric Limeback,7.89,Canada,Berkeley Winter 2017,2017
239,Ethan Stevens,7.90,Australia,Koalafication Melbourne 2019,2019
239,Moshi Tang,7.90,United States,Cuyahoga Cubing 2019,2019
239,Will Hamilton,7.90,United States,UCSD Winter 2020,2020
239,Yinqin Li (李尹钦),7.90,China,China Championship 2018,2018
243,Muhammad Hariz Bin Azizan,7.91,Malaysia,World Championship 2017,2017
243,Pedro Roque,7.91,Brazil,ACSA 2018,2018
243,Qiyu Zhang (张淇奥),7.91,China,Shandong Open 2019,2019
243,William Lu (呂宇綸),7.91,Taiwan,Cross-strait Cubing 2019,2019
247,Andrew Ricci,7.92,United States,MIT Fall 2015,2015
247,Hunor Mogyorósi,7.92,Hungary,Kosovo Open 2018,2018
247,Jinseong Kim (김진성),7.92,Republic of Korea,Korean KAIST Style 2015,2015
247,Micah Morrison,7.92,United States,Grind City 2018,2018
251,Ben Kirby,7.93,New Zealand,Auckland Summer Open 2020,2020
251,Brennen Lin,7.93,Canada,Leap to Barrie 2020,2020
251,Ernesto Gutiérrez Cuba,7.93,Peru,Campeonato Nacional Perubik 2017,2017
251,Jan Zych,7.93,Poland,PST CFL Częstochowa 2019,2019
251,Stanley Wang,7.93,Canada,Leap to Barrie 2020,2020
256,Isaac Langer,7.94,United States,Qualifornia 2017,2017
256,Iuri Grangeiro Carvalho,7.94,Brazil,V ETEC Jacareí Open 2019,2019
256,Jakub Kipa,7.94,Poland,CFL Santa Claus Cube Race 2017,2017
256,Massimiliano Iovane,7.94,Italy,Italian Open 2017,2017
256,Vincent Hartanto Utomo,7.94,Indonesia,Indonesian Championship 2019,2019
261,Ethan Rusnak,7.95,Canada,UBC Open 2020,2020
261,Jakob Gunnarsson,7.95,Sweden,Värnamo Cube Days 2019,2019
261,Nathan Wu,7.95,United States,SacCubing IX 2020,2020
261,Robbie Villarica,7.95,Philippines,Metro Speedcubing Open 2019,2019
265,Ben Yu,7.96,United States,Puget Sound Summer 2019,2019
265,Daryl Tan Hong An,7.96,Singapore,Singapore MentalMatrix Open 2019,2019
265,Hsiang-Kuang Zhuang (莊翔光),7.96,Taiwan,Grossmont Fall 2019,2019
